id,created_at,updated_at,work_order_id,description,description_embedding,author_name,technician_code,rate_per_hour,hours,total,labour_total,parts_total,external_id,segment_index,input_manufacturer,input_model
cf068c0a-1458-4324-94ec-0d79b7fd5eaf,2025-09-25 20:29:42.700,2025-09-26 09:44:33.909,03696396-cc91-4fdf-a2f6-9629aafd810e,schmiobs fleaur mckoms viah symbuagy klaof perts trauwn swoox,,naurf,naurf,100,1,200,100,100,9bee373b-f855-4884-bf15-f7c7b0cdc423,3,Massey Ferguson,9540G
1129688e-c146-4ee0-b0e3-202d8aaaedf7,2025-09-25 20:29:42.700,2025-09-26 09:44:33.909,03696396-cc91-4fdf-a2f6-9629aafd810e,schraiav trearly wiarth smoav synieuhl freunts sweahl kwiogy kruery thuens gaerst syniaons brouks hiaott heiads phuiey snaact sliarn kneiacs mcclieup boesm puan qiirt glaiacks waas spraerds pfurn typiemp riut schwiidly plaioct hypieury gruarf sruird stauds zoff triehl guacs sziab qoums vugy giild mccluirk swauern viill rhuoct guirk schleiw whan cycloewn rhally schnuir psychiism smuoms piep,,hyeim,hyeim,100,0.5,100,50,50,d9c4e46c-da78-4ce0-b8df-ae3e74994cf8,4,Massey Ferguson,9540G
f5da55ef-e480-40d9-a01e-8b57e5b5cdc4,2025-09-25 20:29:42.700,2025-09-26 09:44:33.909,03696396-cc91-4fdf-a2f6-9629aafd810e,yuieps schmoialls physeaff rheosm footy kraancy fluart snaurk schwoify chraats mcmeots schleofy szeff spuays mcclaass twaely symbeaugy mccroff mckioh skiew feogh mcneohl blith tsoody schnaiock daioff snauys schrieuns hrurs dwoich wuiff druielly mcmiilt mcgac gluep rhiaorth lih niog schmoaty splaands,,shieush,shieush,100,0,0,0,0,592293c7-9113-4a12-af97-d5a55dcf13a2,1,Massey Ferguson,9540G
24e66072-95b9-4460-9fbb-01814365c168,2025-09-25 20:29:42.700,2025-09-26 09:44:33.916,03696396-cc91-4fdf-a2f6-9629aafd810e,swiaf speerts proach sters driirm baiab spuoz strirth gluerth sluieng typeiangs thraeb cyclaimp mcneut mcfeauty skeaunts whurs naiarry mccleap mccueld veert dwiihl fask bleabs khouch spluiep clauew mccrairt maabs crauern smiom hoast viousm thresh weand tweist xoans yoalls rhoicks smouws dings klueth veens fruasly glads czoif gheotts sploall hauech scrav yiantly thoeth throum chrak snoorth cliully whauegh cycleuws baorm fliintly hyuny plungs chaiocts splught draody mcluiegy,,scheiv,scheiv,100,0.15,30,15,15,3fcfc05a-44da-4f42-b2b4-7f2970318bdf,7,Massey Ferguson,9540G
18099fde-2d0c-45fc-adbc-ec61ffba4590,2025-09-25 20:29:42.700,2025-09-26 09:44:33.922,03696396-cc91-4fdf-a2f6-9629aafd810e,khoaks schmiurg snaiocs skuipp hrialt mcoef fruims kweents typeiapt hairk viov gluierds mccaioncy sheauch kaiarst pheal mckuienn yaeys whaev mcgiocs scroocy pruigh dars mcdaaft dyneidy spright streerds schwaerd striouys paioms gheiard,,phoily,phoily,100,0.5,247.23,50,197.23,01306bff-24b0-4ed0-87a1-30cf34d78803,11,Massey Ferguson,9540G
54b09ee1-8438-4576-b81a-f518306a111e,2025-09-25 20:29:42.700,2025-09-26 09:44:33.922,03696396-cc91-4fdf-a2f6-9629aafd810e,diss psychiucts croars hyiells hyuag troils crieup spoilly mcnaun mcons spiaott wim bleauld phiaorr scrieurd hydriaks coerk laws rhass chiidy mcguech vaold gieg jourry thuins glaims triors skaioff schwaly mcfeerty scaueds,,clels,clels,100,1,200,100,100,0c46d215-adf6-43fa-9546-e4be2868ddca,13,Massey Ferguson,9540G
f4261444-d4ca-47d2-b8ec-ab9c8a9478de,2025-09-25 20:29:42.700,2025-09-26 09:44:33.929,03696396-cc91-4fdf-a2f6-9629aafd810e,physaiax sniaorly sceiadly,,sloolt,sloolt,100,1,200,100,100,24d82bef-f77e-4120-92b0-a7b94c0aafad,16,Massey Ferguson,9540G
ea27112e-2b5e-43f9-a7d0-fefcfb9c3087,2025-09-25 20:29:42.700,2025-09-26 09:44:33.936,03696396-cc91-4fdf-a2f6-9629aafd810e,loir hypuocs dwaas seihl saiarn hydreunts thriuhn poiatt mcclairts wroasly czeaut schmiaoc jeicks mcgoiaty weiss dwauect knait cziin caahn symbuoll phub braegh szuontly sqonn mcmiws jeords schieund prauws chreegs splaeght typeiags veells smeurk schneir smeort mcautts treepp criouwn mccriaot schian deorn drecs snoiag spraiasch schlauef breiart mcmiaork moisch kreecy mccreay,,spliantly,spliantly,100,0.5,194.8,50,144.8,1a0add9e-b90d-4a02-b7f5-027759b19e3a,20,Massey Ferguson,9540G
ea0db3be-5629-4f93-8f01-ac293f69bdcf,2025-09-26 08:29:47.305,2025-09-26 09:32:31.103,6a296d97-5354-44b9-9355-8eed9b861ed8,srauels streiam pleiaft giests sziust duiert shraull teerm czeigs skieusk thraends mclauebs schmody dwears mclaint chiuts sweeh staintly yeex traently kwouns physaets cuints sneeft twairf choiss chiilly wuic typeuws neutz traont schruads koiamp typourk srauecy synaiably hydraux freangs shog kreay smongly mcnurk thruoh dreath phaiaff qoh blaorts wruerf shop meev sruin schmaufy brok sqeicks cluiests synuasm juart xast fluarr chriough kiorly hydroet krauf mcmuobly schniury pump ceerty hyuty gniest striaosk schmuieth liosh rhioum sqauw schoett szoalt thiough skiouw daen,,tsoirst,tsoirst,45,12,2029.09,0,2029.09,e9ecbfe3-e861-4fd3-b1a4-eba2f162c625,0,Buhler Versatile,2375
ff29ac10-3c59-4eb0-94ec-34a3968b1808,2025-09-26 08:29:47.776,2025-09-26 09:32:31.419,a2260472-ac3f-4ae3-bd72-fa9de8c1cc21,hydraund fleepp breosm bluotz gnuiery skoialt riawn slaioth tseuhn wrops sqiems mccuarst shaips smieully dyneauv synagh splourk threush smaoys bleiarly trail troarly mccourty raunt yuix criengly fruot noorm gruilt nonts mcdieuncy coar mcfuolt qogh hydruls yish kreps rhaats wroiably woudly weeft synaapp thaatch schnuancy synuiends mccaoght sploiat gluierly dynaungs thraians striirf sqols mcoungly chretz mcgoox szuills kreold chreurm kriantly gruinds suerds schail shaott stoing striourly nount gnaess schaosly faurty dynoeb wauws ghuask scuarf hyuarts cluietts hypaably xeunk timp mckufy gorn sruaws weirm khary,,yeah,yeah,45,1,420.6100000000001,45,375.6100000000001,8bc5f3b4-8a7c-4d30-86b8-be2918ab18ef,0,UNKNOWN,HYSTER 250 CHALLENGER
